match_id,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,wide_runs,noball_runs
198,10,6,S Dhawan,E Lewis,Trent Boult,0,0,0,,,0,0
185,9,3,CH Gayle,Hardik Pandya,Bhuvneshwar Kumar,6,0,6,,,0,0
75,2,3,RG Sharma,SK Trivedi,Rashid Khan,1,0,1,,,0,0
138,9,5,R Ashwin,SR Tendulkar,SL Malinga,1,0,1,,,0,0
172,17,2,M Pandey,SK Raina,SL Malinga,0,0,0,,,0,0
198,5,1,KS Williamson,Mujeeb Ur Rahman,Anrich Nortje,0,0,0,,,0,0
83,10,6,SK Raina,AB de Villiers,Chris Woakes,0,0,0,,,0,0
10,6,4,KL Rahul,DA Warner,Bhuvneshwar Kumar,4,0,4,,,0,0
75,2,1,RV Uthappa,AB de Villiers,Trent Boult,1,0,1,,,0,0
127,5,5,Kagiso Rabada,R Ashwin,KL Rahul,1,0,1,,,0,0
166,9,6,KL Rahul,V Kohli,Trent Boult,0,0,0,,,0,0
45,20,6,Hardik Pandya,Trent Boult,Mitchell Starc,6,0,6,,,0,0
36,16,3,P Cummins,V Kohli,Mayank Markande,4,0,4,,,0,0
85,10,5,V Kohli,R Ashwin,Kagiso Rabada,0,0,0,,,0,0
79,6,4,E Lewis,RV Uthappa,SL Malinga,0,0,0,,,0,0
57,8,2,Andre Russell,J Buttler,Rashid Khan,0,0,0,,,0,0
141,16,5,S Dhawan,J Bumrah,Imran Tahir,0,0,0,,,0,0
181,12,1,CH Gayle,SK Raina,Pat Cummins,1,0,1,,,0,0
43,11,5,Trent Boult,CH Gayle,KL Rahul,0,0,0,,,0,0
115,2,4,SR Tendulkar,D Karthik,Yuzvendra Chahal,0,0,0,,,0,0
79,1,4,J Bumrah,V Kohli,KL Rahul,1,0,1,,,0,0
17,18,1,MS Dhoni,Shikhar Dhawan,BA Stokes,0,0,0,,,0,0
165,14,3,Ishan Kishan,Kagiso Rabada,Bhuvneshwar Kumar,0,0,0,,,0,0
139,5,6,G Maxwell,CH Gayle,DJ Bravo,0,0,0,,,0,0
58,1,1,RV Uthappa,Andre Russell,Pat Cummins,1,0,1,,,0,0
118,12,2,R Ashwin,S Marsh,SL Malinga,2,0,2,,,0,0
5,8,2,MS Dhoni,CH Gayle,Imran Tahir,0,0,0,,,0,0
13,8,6,DA Warner,Rashid Khan,Rashid Khan,1,0,1,,,0,0
15,5,5,Yuvraj Singh,M Pandey,Chris Woakes,1,0,1,,,0,0
83,8,3,J Buttler,P Cummins,Yuzvendra Chahal,0,0,0,,,0,0
189,6,6,Mujeeb Ur Rahman,E Lewis,BA Stokes,1,0,1,,,0,0
135,11,6,Rashid Khan,Mujeeb Ur Rahman,SP Narine,0,0,0,,,0,0
62,8,3,J Buttler,Andre Russell,BA Stokes,0,0,0,,,0,0
35,13,2,J Bumrah,S Dhawan,Trent Boult,4,0,4,,,0,0
24,18,6,S Marsh,SK Raina,Mayank Markande,6,0,6,,,0,0
19,7,5,S Dhawan,Shikhar Dhawan,KL Rahul,2,0,2,,,0,0
4,7,2,CH Gayle,Shikhar Dhawan,Sandeep Sharma,0,0,0,,,0,0
62,18,3,Yuvraj Singh,Hardik Pandya,Rashid Khan,0,0,0,,,0,0
132,16,4,AB de Villiers,Shikhar Dhawan,Trent Boult,1,0,1,,,0,0
145,8,6,J Buttler,R Sharma,Mayank Markande,0,0,0,,,0,0
76,5,2,BB McCullum,M Pandey,Bhuvneshwar Kumar,0,0,0,,,0,0
176,11,3,Shikhar Dhawan,E Lewis,Rashid Khan,1,0,1,,,0,0
185,18,4,KL Rahul,SK Raina,Mitchell Starc,0,0,0,,,0,0
172,2,1,Rashid Khan,SR Tendulkar,Sandeep Sharma,4,0,4,,,0,0
117,12,1,Andre Russell,E Lewis,JJ Bumrah,0,1,1,,,1,0
136,9,5,Yuvraj Singh,R Sharma,Mitchell Starc,1,0,1,,,0,0
46,4,1,D Karthik,J Buttler,Sandeep Sharma,0,0,0,,,0,0
69,13,1,SK Trivedi,Rashid Khan,Rashid Khan,1,0,1,,,0,0
176,3,6,DA Warner,AB de Villiers,Bhuvneshwar Kumar,1,0,1,,,0,0
3,6,1,Shikhar Dhawan,Mujeeb Ur Rahman,Trent Boult,0,0,0,,,0,0
136,2,2,S Dhawan,Shikhar Dhawan,Mayank Markande,6,0,6,,,0,0
140,19,6,DA Warner,S Marsh,Trent Boult,2,1,3,,,1,0
183,13,1,RV Uthappa,KS Williamson,Chris Woakes,4,0,4,,,0,0
139,11,4,SR Tendulkar,RG Sharma,Mitchell Starc,4,0,4,,,0,0
60,3,3,Hardik Pandya,SR Watson,JJ Bumrah,1,0,1,,,0,0
59,12,5,Ishan Kishan,Trent Boult,DJ Bravo,4,0,4,,,0,0
159,10,2,MS Dhoni,AB de Villiers,Mayank Markande,0,0,0,,,0,0
190,13,3,SK Trivedi,AB de Villiers,R Ashwin,0,1,1,,,1,0
70,4,2,RG Sharma,S Marsh,Yuzvendra Chahal,0,0,0,,,0,0
7,3,3,RG Sharma,BB McCullum,Bhuvneshwar Kumar,0,1,1,,,1,0
186,18,2,D Karthik,KS Williamson,Bhuvneshwar Kumar,0,0,0,,,0,0
38,3,2,Mujeeb Ur Rahman,R Ashwin,Yuzvendra Chahal,0,0,0,,,0,0
64,16,5,S Marsh,Andre Russell,SL Malinga,3,1,4,,,0,1
159,13,3,Trent Boult,BB McCullum,Yuzvendra Chahal,0,0,0,,,0,0
35,10,3,S Marsh,Shikhar Dhawan,Trent Boult,0,0,0,,,0,0
189,16,5,P Cummins,BB McCullum,Bhuvneshwar Kumar,1,0,1,,,0,0
145,7,5,KL Rahul,R Sharma,Rashid Khan,0,0,0,,,0,0
178,3,4,Shikhar Dhawan,SR Tendulkar,Jasprit Bumrah,2,0,2,,,0,0
97,3,4,Andre Russell,Hardik Pandya,Pat Cummins,0,0,0,,,0,0
140,2,3,RG Sharma,CH Gayle,Sandeep Sharma,6,0,6,,,0,0
12,19,6,Hardik Pandya,BB McCullum,Yuzvendra Chahal,2,0,2,,,0,0
192,17,5,M Pandey,Kagiso Rabada,Kagiso Rabada,0,0,0,,,0,0
129,5,3,R Sharma,Shikhar Dhawan,SL Malinga,0,0,0,,,0,0
187,5,3,RV Uthappa,G Maxwell,Rashid Khan,3,0,3,,,0,0
25,15,6,Trent Boult,SR Watson,R Ashwin,1,0,1,,,0,0
88,4,6,KS Williamson,J Bumrah,Mitchell Starc,1,0,1,,,0,0
119,8,4,KL Rahul,S Marsh,Yuzvendra Chahal,2,0,2,,,0,0
116,19,4,Ishan Kishan,V Kohli,KL Rahul,0,0,0,,,0,0
17,19,1,KL Rahul,Ishan Kishan,Trent Boult,0,0,0,,,0,0
126,17,6,SR Watson,Hardik Pandya,Imran Tahir,0,0,0,,,0,0
118,20,2,RV Uthappa,RG Sharma,SP Narine,4,0,4,,,0,0
96,5,5,Ishan Kishan,Mujeeb Ur Rahman,Imran Tahir,1,0,1,,,0,0
163,18,6,KL Rahul,KS Williamson,Anrich Nortje,0,0,0,,,0,0
159,2,3,V Kohli,E Lewis,SP Narine,0,0,0,,,0,0
168,16,4,Shikhar Dhawan,Rashid Khan,Rashid Khan,0,0,0,,,0,0
195,8,3,DA Warner,Yuvraj Singh,Sandeep Sharma,0,0,0,,,0,0
191,16,5,E Lewis,CH Gayle,Chris Woakes,1,0,1,,,0,0
94,18,1,Trent Boult,S Dhawan,Yuzvendra Chahal,1,0,1,,,0,0
77,2,4,J Bumrah,SK Trivedi,R Ashwin,4,0,4,,,0,0
61,7,6,G Maxwell,Trent Boult,DJ Bravo,1,0,1,,,0,0
16,19,3,R Ashwin,KS Williamson,Trent Boult,0,0,0,,,0,0
132,4,2,Rashid Khan,SK Raina,Mayank Markande,1,0,1,,,0,0
64,5,6,SR Watson,P Cummins,Bhuvneshwar Kumar,2,0,2,,,0,0
107,13,4,MS Dhoni,AB de Villiers,Bhuvneshwar Kumar,1,0,1,,,0,0
95,15,4,SR Watson,V Kohli,R Ashwin,2,0,2,,,0,0
92,3,5,Hardik Pandya,S Dhawan,Yuzvendra Chahal,1,0,1,,,0,0
73,11,5,SR Tendulkar,E Lewis,Trent Boult,1,0,1,,,0,0
161,15,1,CH Gayle,KL Rahul,Rashid Khan,0,0,0,,,0,0
177,5,6,RV Uthappa,KS Williamson,Mayank Markande,0,0,0,,,0,0
171,6,1,Hardik Pandya,RV Uthappa,Sandeep Sharma,0,0,0,,,0,0
55,16,1,SR Tendulkar,P Cummins,Mitchell Starc,0,1,1,,,0,1
31,14,6,SR Tendulkar,Shikhar Dhawan,R Ashwin,1,0,1,,,0,0
27,11,3,RV Uthappa,SR Tendulkar,Bhuvneshwar Kumar,0,0,0,,,0,0
174,5,1,D Karthik,V Kohli,Imran Tahir,1,0,1,,,0,0
161,5,4,Trent Boult,S Dhawan,R Ashwin,4,0,4,,,0,0
187,13,3,Mujeeb Ur Rahman,SR Watson,SP Narine,0,0,0,,,0,0
154,20,6,Yuvraj Singh,R Sharma,Jasprit Bumrah,0,0,0,,,0,0
101,10,6,SK Raina,J Bumrah,Anrich Nortje,2,0,2,,,0,0
19,17,1,SK Trivedi,SR Watson,SP Narine,0,0,0,,,0,0
140,6,4,MS Dhoni,R Sharma,Chris Woakes,0,0,0,,,0,0
16,13,5,Yuvraj Singh,D Karthik,Yuzvendra Chahal,0,0,0,,,0,0
